absolute_path,size_bytes,sha256_hash
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.02.MatrixAction/MGM.02.4.Literacy.nb",215567,ab399274cee9f069c5bff6cb968df4715b0d34f6ecc737a6733c343fd6479ccc
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.02.MatrixAction/MGM.02.3.GiveItaTry.nb",152132,cdcc1177ecd4f732e83dc8b46b8b63cbdb6c6dbb1833cfe2bfb10859093c3c53
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.09.DynamSystems/MGM.09.3.GiveItaTry.nb",216974,74ebfe936d18cc2653ef6b3636656d4166a0d68186a88a1c0175833104b45e61
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.09.DynamSystems/MGM.09.2.Tutorials.nb",147590,40401389e27f54a47a39e157ff98ebd4c09e9ff76b74eb25eff282a4b83904e3
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.09.DynamSystems/MGM.09.1.Basics.nb",263246,dc564451d2e5ef788d3a12426b66a23204b78663a6b9deb895b309565e32c6e7
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.09.DynamSystems/MGM.09.4.Literacy.nb",73881,3272ebbe20fbba486c69057ee97910fbce1067560205131d1b5429e39ae2891b
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.10.HolyGrail/MGM.10.2.Tutorials.nb",138074,17c33db5ffedf059f8fbd668f6f92f8493d46b5ae46a41b24789ec43a26a8bb2
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.10.HolyGrail/MGM.10.3.GiveItaTry.nb",133208,34eb19028a6354b52820afc849a48c089cab028b46ee0fcff68178113c0e0a9b
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.10.HolyGrail/MGM.10.1.Basics.nb",155116,dd31b6c631afec4d8f2b03ecac6ac373681dd6b674db50ffc59602e13727f286
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.03.MakeMatrix/MGM.03.2.Tutorials.nb",114591,adbbb6316fde75a83394e2a80dadce693287ac79745e11d2d445616367a35538
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.03.MakeMatrix/MGM.03.4.Literacy.nb",667689,d4b232bbcb02e965aa5a5fc21718cf541ddc6c915c9420f11765986f4a99aeda
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.03.MakeMatrix/MGM.03.3.GiveItaTry.nb",189871,24c128ae3fbc3e9c0642905cd2632d9020febb74e70e8c4115f476550e6b37ef
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.03.MakeMatrix/MGM.03.1.Basics.nb",107049,7325c2cf1b452eedff1b4b0442b7fbb0acdefe5449744aaed4897a9a126199c0
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.05.3D/MGM.05.2.Tutorials.nb",142043,b3838c34befdfea4c7c12ef6dd0b866d91c5c62f77361ba54c90a3c7217ab2bd
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.05.3D/MGM.05.4.Literacy.nb",199461,dc3c227e32b800a5778a9721633333bcb59915e88da531f226d892c6e0599677
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.05.3D/MGM.05.3.GiveItATry.nb",201590,ef23d3ed1c7aeadb29dabd981f744f32aa27f21a46a7eada82ac12dae127a37a
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.05.3D/MGM.05.1.Basics.nb",166312,607e4f8e8618509b24c0ad74f9409ae9b515a5574a17dc20cae0b066490fee91
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.07.Roundoff/MGM.07.2.Tutorials.nb",92697,3217746d0a6d422c8a55bb02d11cf00dc29d9435b3cc99a4a8e51f1d3545ab8f
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.07.Roundoff/MGM.07.3.GiveItaTry.nb",110299,f9ec86111c63b55865e3a6fbd08e7e731e207a679607ccf579650c03f61b6ab6
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.07.Roundoff/MGM.07.1.Basics.nb",115459,d047caac8b08524ce901a6a97c03f9439082dd06c2de3afaffe74695f1402fba
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.04.SVDAnalysis/MGM.04.2.Tutorials.nb",114108,37fa951d43a2542beab408132c42b721866a6db23f21f7c00c7ce229baf95795
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.04.SVDAnalysis/MGM.04.1.Basics.nb",136658,9ea623afab4dbaeed175c3fa39e5248da45992305bf273fd0131376cc08686a4
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.04.SVDAnalysis/MGM.04.4.Literacy.nb",299210,e069401d280558e53194a37f793af536d7af105c4215f80974dbed18699f3fb1
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.04.SVDAnalysis/MGM.04.3.GiveItaTry.nb",131892,0a38fd92294440dee5644ba17be40fe2f9ee12119b9f8f0012b7eab87f7606b0
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.06.Beyond 3D/MGM.06.3.GiveItaTry.nb",145771,3df8a893d5d994f5867d88b5b66832422f69b74b2df8971ac8aec84331a8fc11
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.06.Beyond 3D/MGM.06.2.Tutorials.nb",107361,9de520a8d400bf8a29400486f22a07559be24a8858e5c4a1543092d9ece5a9c0
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.06.Beyond 3D/MGM.06.4.Literacy.nb",81184,1796c8fe6b608ef2ef4a9d2ade82ae4a980c534566a98f0224a8ebeb7c085cb9
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.06.Beyond 3D/MGM.06.1.Basics.nb",176908,662f6c62a56f9938034fadd4a10f83bd4129fc071c9e99fc07006bd675a00476
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.08.Subspaces/MGM.08.4.Literacy.nb",82289,7aee2a8da69b057eb364a2c78e6b984121c19d5794583e26e6795d7699bd5464
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.08.Subspaces/MGM.08.1.Basics.nb",138861,605a744021f3f942e6db59f2947e489ccf4f02f92a2d35a3b93e36e93fd4b50b
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.08.Subspaces/MGM.08.3.GiveItaTry.nb",151361,b54a549d503983cdff16dd5bc9a328dbd6be3ea921ee6da51886ee19781b3968
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.08.Subspaces/MGM.08.2.Tutorials.nb",119044,82f0fee9d84032eab68fa7e3903c0be818fc4feeaacca3916fe7f3fb874f97cd
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.00.PlotFest/MGM.00.2.Parametric2D.nb",74532,40a9267d3259953b43f9ca3b204e49a2e88b91da92920448df9e18e983c8ac1e
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.00.PlotFest/MGM.00.3.Parametric3D.nb",84050,0b8d35692e5ad39c01e4f28c9b43f0ca61109caea37bbba2b73c9658600846cd
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.00.PlotFest/MGM.00.1.Functions.nb",70106,f5c8fc3677c81b00c240707bd7e1a50f43d090b88d7641ae220ffcab579a9b19
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.11.FunctionSpaces/MGM.11.1.Basics.nb",143065,21a52aa6e7ab83df5ef4dab61626f945689d8827b894a21c8dc7067b2e318129
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.11.FunctionSpaces/MGM.11.2.Tutorials.nb",127785,8e4a4c2db5254fa6efefa2f2a67afd04c07b45cd19e40b25ec61cb4ff4c5a951
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.11.FunctionSpaces/MGM.11.3.GiveitaTry.nb",122681,5cf405be224eff02109c9f9a03c571eaf2f32b651c9163c5ac1d58de67b038f6
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.01.PerpFrames/MGM.01.3.GiveItaTry.nb",166651,8befaa32961999a6b0312777fe6f884d3c5a8ddfa7532e4b2d6dc5817c9d93d8
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.01.PerpFrames/MGM.01.1.Basics.nb",198257,2caf6d26883a53c719b6cc8bab0957cd78504c82ba9118e297f5ca312eedf796
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Lessons/MGM.01.PerpFrames/MGM.01.2.Tutorials.nb",136200,2b5521213e90b2d4d96b439fa89a660b343e23b95d9a51c02b5fd4dcc944e570
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Extras/RGBColorSelector.nb",52914,5336db668cd1777fb3db9f4f5998956c70f15daa7d1dc36186bc2359921e5502
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Extras/ColorSelector.nb",47285,b814b9390ab1f9ef724906bcaafa66cb8d15f8c450bb07ba4d3b13b956b3cf5c
"/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Matrices, Geometry & Mathematica/Extras/MEImathstyle.nb",63796,1a650a4d042c5261c500ace2a0635820e1150343c92ca0e35f74a03fd4ec498b
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap6a.nb,537187,7fbc6c772a90ab2e637188d152b154b0a9eb408f891a8cedba52bd078a1c671c
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap5e.nb,886023,a79b38bb66380300370c81db99d81446e6b70df8300ddc6796338642c08eb79c
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap4a.nb,47206,83376012459f2d9af4806640f2186d548e5b90a5aae6f4063ecb8039acf7d1bf
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap5a.nb,21153,bd71a51b272c25e5aacc976c1d60f8850373cb8dadcea62160cbe119eac23ba2
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/MBEExtras.nb,1273364,acc8c701f108e8b9284381abacbd5ac2a1f05d9747c7525a3f1e2165c47a6f0f
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap6e.nb,2480835,7f1ed073336ae3edf0e9d26659b3e6ea09f74ef8c2f21b2aabb6b0ae6e2af83f
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap6d.nb,2079647,3b47a2ed4b79eef0cd6a8dc9a6d83d4226fd6ae57a0c537f7e96c77cfec981e6
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap4d.nb,761088,f6ccfa794289e606e5d5dcecdd9f3f48c51dfb1367d765f474bcf48cb67fea51
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap2a.nb,555574,f92ffbba9cf61270b8c9c16146459ff307a34fd6cd48a7517c33e1e2efce40f7
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap3a.nb,759441,8e5a70970fee2daa85e7ddd0a1c1213292bcc35a3970ff4944cffd1a4833d439
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap5d.nb,13632,3fe5f12e3f9cdd2b5c822a8fd58048caefd4536be6b62694c55e160aac084a3d
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap7.nb,2455560,780ae29688eb274b42c6089d84442e0768a8b65d1cddd64be1528f80e7184c55
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap1.nb,450402,6f443ddf8ca3e66a57407fcce06304f8415dfcd67c9688cea065bd3068b41171
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap4c.nb,39231,ac30dc80c8f16e0036879dfadba878e0a8e6370c8170b65f228a20a5735b0b00
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap5c.nb,76044,8cb4b3f3253bcbdd8e30ec121d1e50ad9664be85f065a0730d7727b732794eca
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap2b.nb,677518,63551d4a6753032300602008690369b0ee2d511a23592679d70dc2b8712b9756
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap3b.nb,2518321,e16cae9ba0f9461994cc0a59d5246413b2b41fc4d7606b70a5f57b36197fbde0
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap6c.nb,300809,69da1c2b11b97447f6ca85553002b9c653c23ed38e528ef82b1c5be22825ad83
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap2c.nb,1367826,b288206881643a01c29dfda992af81aa06cd94718985c08bd85622d2642df704
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap3c.nb,2536898,2624c17851b9b5709ab33cb45c9445b0dd9ce809b63570510fb91274b7ae3b49
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap6b.nb,847425,e5ff8b08872d6960a0aaa5495efa4f7c8d2f1f80bd041afd9ee8a408c3c78c54
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap4b.nb,162117,a4d51521efaacb2e4e0038a722ce71aef3e51b7d66426dab1f4e209b8db78847
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Mathematica by Example/Chap5b.nb,11839,18b278cafa485c1d32d701d0ffe58ba45992a431f971d7111bd70d9d7f46880e
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap9b.nb,6639382,356422db2a242fdc3731fb97d4b05f477a7b64df0d2e5036517daf4a11b2acf9
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/DEsExtrasc.nb,385344,7dec759e6fbd8652bed413758f4be974c22ab52c750de0a367af0d78da0aeffe
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap5a.nb,3021407,20205b3e690475bdc448a71fd1e58ccf596e441ada487606e908a0cd51c03dff
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/DEsExtrasb.nb,163161,ca458fd63f21248d3fe7dfaff40d5649b0fd386d89cafe77170bdaa8bffcf4f6
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap1a.nb,1372175,56e46058c33220c358720b4e7b1b38d6e07bd9995fa821cb274058b220ef1a07
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap9c.nb,6432806,773b497a15f0c646333b04b6f305fd5790d49a86b3ea5b28791685776d0010b9
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap8.nb,4034546,ce6e90229a6997efec3ef41771c3497fcb242617e0069afac13f5582acf53b02
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap3.nb,1033166,85ad4313c5edeb920956e7f0760973915bb7b81d1eaf614c8ae831df4627ef91
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap7.nb,554891,39a356c9c02e8566d5efa9fe4622c7a5e89581ac15d33a37069fa67989e11b7d
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap6.nb,1026094,54b570738366669bdd81b1d51b520bace1c3dc75c6d4a269f26c04c573eaa580
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap2.nb,1782948,5d07b22a27d13f928d074427e30866ab4e375699b75e5e2af6a3fc3cfbc9ea0b
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap4.nb,1343474,ccbdb6140d5fb5f74acefe51d04298d1e0b27e6a5fa3346ceeb9b0d1766edf48
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/DEsExtrasa.nb,1106905,d2091f53c4b10aa02bea9287c0a106c186d8ffb2e55099b67dc84ba877ffeff2
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap1b.nb,252143,e2fdf14b7c508758b75ff0fa6bfca76e1eed55ea327141b1154abea78256a397
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap5c.nb,328346,a485b7dc0de2d4556f3ed78b59c8eb4df92e49120696994e522e4015f6f9445d
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap11.nb,2097423,9ce46b05b6435bf4fc4267e8ef0f9e8c41169428f610a90b8ef1a800105bec07
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/DEsExtrasd.nb,8975,f809a40a3c4d5d4b44639781af51bf8b7c6057108e3f4dc631d5793a2bc9ce83
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap9a.nb,2303751,73b4909b92cfa33fc7c6dcfad701850b3103faa17b6f2a7f40e85f76eff5a338
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap10.nb,1056771,b9717d9d8758584abbed7c6d1be1eee383644d6bbc46e2a65c6a71f0f7eff13f
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Differential equations with Mathematica/Chap5b.nb,725206,37843cde398fc0de9fad1b1d17c45f88a71aa907e229449f9b15251d3d7a11b7
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Crash course in Mathematica/In-only/Part-1.nb,307045,dab3ed4a864563cd0e513df3439f2f46d33fbe1e4bf43dfdb7631918fb649948
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Crash course in Mathematica/In-only/Part-4.nb,315759,2f22ea74b965332847cbb4f6cd02f55b0a66dabf35d47d183f15b0b2debe7535
/Users/dantopa/Library/Application Support/Google/DriveFS/109252996131366714618/my-drive/master-library/references/books-mathematica/Crash course in Mathematica/In-only/Introduction.nb,325558,ccc6ce4bbddb268d1cac888a91c1ab6ceb000b46da8b06aeea74fd9f9958154e
